公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段,特許ステータス
特開2025-157086,令和7年10月15日,デバイス及び通信方法,特願2024-195928,令和6年11月8日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",ＣＦＲＡとＣＢＲＡをトリガーする統合Ｒ２Ｄメッセージにおいて、ＣＦＲＡが指定されている場合、Ａ－ＩｏＴデバイスが、Ｄ２Ｒ送信（Ｔｘ）のリソースを適切に決定するためのデバイス及び通信方法を提供すること。,ＮＢ－ＩｏＴ（Narrow Band Internet of Things）デバイスよりも低複雑度のデバイスが、無線通信装置から、競合ベースのランダムアクセス及び競合フリーのランダムアクセスのいずれかをトリガーするトリガー信号を受信する受信部と、前記トリガー信号において前記競合フリーのランダムアクセスが示されている場合、前記トリガー信号に含まれるリソース情報に基づいて、前記競合フリーのランダムアクセスを行う信号の送信に用いるリソースを決定する制御部と、を備える。 【選択図】図１２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157086
特開2025-157077,令和7年10月15日,端末、基地局、無線通信システム及び無線通信方法,特願2024-194676,令和6年11月6日,株式会社ＮＴＴドコモ,[''],Ambient IoTにおいて基地局に接続されていない状態でA-IoT deviceと実行する通信のリソースを適切に割り当て得る端末、基地局、無線通信システム及び無線通信方法を提供する。,端末は、通信装置と下位レイヤを用いた通信を制御する制御部と、基地局に接続されていない状態において前記下位レイヤを用いた通信で用いるリソースの設定情報を基地局から受信する受信部と、を備え、前記制御部は、前記基地局に接続されていない状態において、前記設定情報に基づいて前記通信装置と通信を実行する。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157077
特開2025-157076,令和7年10月15日,通信装置、リーダ装置、無線通信システム及び無線通信方法,特願2024-194667,令和6年11月6日,株式会社ＮＴＴドコモ,[''],Ａｍｂｉｅｎｔ  ＩｏＴにおいてランダムアクセス手順を適切に決定する通信装置、リーダ装置、無線通信システム及び無線通信方法を提供する。,無線通信システムにおいて、通信装置（ＵＥ）２００は、リーダ装置と下位レイヤを用いた通信を制御する制御部２７０と、通信装置を呼び出すメッセージを受信する無線信号送受信部２１０と、を備え、メッセージは、リーダ装置にアクセスするランダムアクセス手順の決定に用いる閾値又はリーダ装置にアクセスするランダムアクセス手順を指定する通知の少なくともいずれか１つを含む。 【選択図】図４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157076
特開2025-157073,令和7年10月15日,リーダ装置、無線通信システム及び無線通信方法,特願2024-194249,令和6年11月6日,株式会社ＮＴＴドコモ,[''],Ambient IoTにおいてシグナリング負荷の増大を抑制しながらD2R message sizeをReaderが把握し得るリーダ装置、無線通信システム及び無線通信方法を提供する。,リーダ装置は、通信装置と下位レイヤを用いた通信を制御する制御部と、前記通信装置が属するグループについて前記通信装置から受信するメッセージのサイズを管理する管理部と、を備える。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157073
特開2025-157067,令和7年10月15日,通信装置、リーダ装置、無線通信システム及び無線通信方法,特願2024-192387,令和6年10月31日,株式会社ＮＴＴドコモ,[''],Ambient IoTにおいてSONを適切に実現し得る通信装置、リーダ装置、無線通信システム及び無線通信方法を提供する。,通信装置は、リーダ装置と下位レイヤを用いた通信を制御する制御部と、ランダムアクセス又は無線リンクの少なくともいれか1つの失敗報告を送信する送信部と、を備え、前記制御部は、前記失敗の検出に応じて、前記失敗に関する情報を記録し、前記失敗に関する情報は、前記下位レイヤを用いた通信に関する情報を少なくとも含む。 【選択図】 図４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157067
特開2025-157063,令和7年10月15日,デバイス及び通信方法,特願2024-181327,令和6年10月16日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",ＣＦＯキャリブレーションに用いられるＲ２Ｄ信号のタイミングや周波数、ＣＦＯキャリブレーションに用いられるＲ２Ｄ信号の検出を適切に決定するためのデバイス及び通信方法を提供すること。,ＮＢ－ＩｏＴ（Narrow Band Internet of Things）デバイスよりも低複雑度のデバイスが、無線通信装置から制御情報を含む受信信号を受信する受信部と、前記受信信号の前記制御情報に基づいて、前記受信信号のクロック取得部分の信号から、どのシーケンス／パターン／長さを検出するかを決定する制御部と、を備え、前記制御部は、前記クロック取得部分から検出したシーケンス／パターン／長さの信号を、タイミングキャリブレーション及びキャリア周波数オフセットのキャリブレーションに用いることを決定する。 【選択図】図１５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157063
特開2025-157053,令和7年10月15日,ノード及び通信方法,特願2024-178211,令和6年10月10日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",A-IoTデバイスが適切に通信できるためのノードを提供すること。,基地局と、環境発電によって電力が供給されるデバイスとの間の無線通信を支援するノードであって、ノード専用の下り制御情報を受信する受信部と、前記下り制御情報に基づいて、前記デバイスに対する制御の目的を決定する制御部と、を有する。 【選択図】図１１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157053
特開2025-157051,令和7年10月15日,デバイス,特願2024-175236,令和6年10月4日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",inventoryの手順において、アンビエントＩｏＴデバイスが、無線通信装置からページングメッセージを受信したときに、無線通信装置に応答するか否かを適切に決定するためのデバイスを提供すること。,環境発電によって電力が供給されるデバイスであって、１つのラウンドにおいて複数送信されるページングメッセージを受信する受信部と、前記ページングメッセージに含まれる情報に基づいて、当該デバイスを識別する識別情報を含み、前記ページングメッセージに対するメッセージの送信を決定する制御部と、を有する。 【選択図】図１４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157051
特開2025-157041,令和7年10月15日,ネットワークノード及び通信方法,特願2024-140942,令和6年8月22日,株式会社ＮＴＴドコモ,[''],ランダムアクセスが成功したか否かをアンビエントＩｏＴ（Internet of Things）デバイスが判定すること。,ネットワークノードは、デバイスＩＤを少なくとも含むアンビエントＩｏＴ（Internet of Things）デバイスにページングを行うための第１のメッセージをアンビエントＩｏＴリーダに送信する送信部と、前記第１のメッセージの応答である前記アンビエントＩｏＴデバイスから送信された第２のメッセージを前記アンビエントＩｏＴリーダから受信する受信部とを有し、前記送信部は、前記第２のメッセージの受信に成功した場合、前記アンビエントＩｏＴデバイス宛のランダムアクセスが成功したことを示す第３のメッセージを前記アンビエントＩｏＴリーダに送信する。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,特開2025-157041
特開2025-156647,令和7年10月14日,エネルギー貯蔵デバイスを備える植え込み型医療デバイス,特願2025-135911,令和7年8月18日,バイオトロニック  エスエー  アンド  カンパニー  カーゲー,"['', '', '']",植え込み型医療デバイスを提供すること。,植え込み型医療デバイス１は、ハウジング１０と、ハウジング１０内に配置されており且つ少なくとも１つの可撓性セクション１４１Ａ～１４１Ｃを備える回路基板構造体１４と、回路基板構造体１４上に配置されている少なくとも１つの電子構成要素１６０を備える電子モジュール１６と、植え込み型医療デバイス１を動作させるための電気エネルギーを提供するためのエネルギー貯蔵デバイス１５と、を備える。エネルギー貯蔵デバイス１５は、回路基板構造体１４に取り付けられている固体電池である。エネルギー貯蔵デバイス１５に接続されているエネルギー生成デバイス１８は二次電池であり、エネルギー生成デバイス１８は、患者のエネルギーをエネルギー貯蔵デバイス１５を充電するための電気エネルギーに変換するように構成されている。 【選択図】図４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 拡大および回転 代表図面 >,"特開2025-156647
審査中 (公開公報の発行)"
特開2025-156604,令和7年10月14日,抗菌ペプチド液体組成物およびその製剤,特願2025-134445,令和7年8月12日,江▲蘇▼普莱医▲藥▼生物技▲術▼有限公司,"['', '', '', '']",抗菌ペプチド液体組成物およびその製剤の提供。,抗菌ペプチド、少なくとも１種類の安定剤、および緩衝系を含み、前記組成物における前記抗菌ペプチドの質量濃度は０．１‰～１０‰であり、前記緩衝系はリン酸塩緩衝系または酢酸塩緩衝系であり、前記抗菌ペプチドのアミノ配列は：ＫＷＫＳＦＬＫＴＦａＡｂＫＴＶＬＨＴＡＬＫＡＩＳＳである、抗菌ペプチド組成物を提供する。抗菌ペプチド組成物は局所外用広域スペクトル感染防止薬物であり、病原菌、特に耐性菌による各種の原発性皮膚感染、および湿疹合併感染、潰瘍合併感染などの続発性皮膚感染に適し、糖尿病足病変、火傷創面感染、褥瘡感染などの頑固な感染性疾患を含み、幅広い応用の将来性がある。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 配列表 開く 手続補正書 開く,"特開2025-156604
審査中 (公開公報の発行)"
特開2025-156326,令和7年10月14日,デバイス及び通信方法,特願2025-83608,令和7年5月19日,株式会社ＮＴＴドコモ,"['', '', '', '']",特定の制御情報が通知されなかった場合、どのような値／設定を想定するかを明確にするＡ－ＩｏＴデバイス及び通信方法を提供すること。,ＮＢ－ＩｏＴデバイスよりも低複雑度のデバイスであって、無線通信装置から、Ｒ２Ｄ信号を受信する受信部と、前記Ｒ２Ｄ信号において、制御情報が存在しないか、又は指定がされていない場合、定義済みの値／設定又は指定された値を使用して、前記制御情報を特定する制御部と、を備える。 【選択図】図１４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-156326
審査請求前 (公開公報の発行)"
特開2025-156304,令和7年10月14日,通信装置及び通信方法,特願2025-78205,令和7年5月8日,株式会社ＮＴＴドコモ,[''],アンビエントＩｏＴ（Internet of Things）デバイスがランダムアクセス手順を適切に実行すること。,通信装置は、第１のアンビエントＩｏＴ（Internet of Things）ページングメッセージを第１のアンビエントＩｏＴリーダから受信する通信部と、前記第１のアンビエントＩｏＴページングメッセージに基づいて、ランダムアクセス手順を含むネットワークとメッセージを交換する第１の手順を前記第１のアンビエントＩｏＴリーダに対して実行する制御部とを有し、前記通信部が、前記第１の手順を実行中に、第２のアンビエントＩｏＴページングメッセージを第２のアンビエントＩｏＴリーダから受信した場合、前記制御部は、前記第１の手順を中止し、前記第２のアンビエントＩｏＴページングメッセージに基づいて、ランダムアクセス手順を含むネットワークとメッセージを交換する第２の手順を前記第２のアンビエントＩｏＴリーダに対して実行する。 【選択図】図１５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-156304
審査請求前 (公開公報の発行)"
特開2025-155872,令和7年10月14日,通信装置及び通信方法,特願2025-18805,令和7年2月6日,株式会社ＮＴＴドコモ,"['', '', '']",アンビエントＩｏＴ（Ｉｎｔｅｒｎｅｔ  ｏｆ  Ｔｈｉｎｇｓ）デバイスがランダムアクセス手順を実行する通信装置及び通信方法を提供する。,無線通信システムにおいて、通信装置は、アンビエントＩｏＴ－ＭＡＣ（Ｍｅｄｉｕｍ Ａｃｃｅｓｓ Ｃｏｎｔｒｏｌ）レイヤのメッセージを生成する制御部２４０と、メッセージをランダムアクセス手順におけるＭｓｇ１として他の通信装置に送信する送信部２１０と、を有し、制御部２４０は、メッセージに、ランダムＩＤを含むか否かを示す情報及び上位レイヤデータを含むか否かを示す情報を含める。 【選択図】図２４ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155872
審査請求前 (公開公報の発行)"
特開2025-155871,令和7年10月14日,デバイス及び通信方法,特願2025-18712,令和7年2月6日,株式会社ＮＴＴドコモ,"['', '', '', '']",リーダーから受信したＲ２ＤのＣＲＣチェックの結果に基づいて、リーダーに対しての動作を適切に決定することが可能なＮＢ－ＩｏＴ（Ｎａｒｒｏｗ  Ｂａｎｄ  Ｉｎｔｅｒｎｅｔ  ｏｆ  Ｔｈｉｎｇｓ）デバイスよりも低複雑度のデバイス及び通信方法を提供する。,無線通信システムにおいて、デバイス２０は、基地局などのリーダーから、制御情報及び／又はデータにＣＲＣ（Ｃｙｃｌｉｃ Ｒｅｄｕｎｃａｎｃｙ Ｃｈｅｃｋ）が付加された受信信号を受信する受信部と、受信信号のＣＲＣのチェックの成否に基づいて、受信信号を正常に受信したか否かを判断する制御部と送信部を備える。制御部は、受信信号を正常に受信したか否かにより、リーダーへ信号を送信するか、リーダーへ信号を送信しないか又は受信信号と同じ信号を再度監視するかを決定する。 【選択図】図１９ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155871
審査請求前 (公開公報の発行)"
特開2025-155766,令和7年10月14日,無線通信装置及び通信方法,特願2024-216926,令和6年12月11日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",Ａ－ＩｏＴを含む通信システムにおいて、リソースプール内のリソースがオーバラップした場合であっても、適切にリソース管理を行うこと。,ＮＢ－ＩｏＴデバイスよりも低複雑度のデバイスと通信する無線通信装置は、ネットワークから、前記デバイスとの間のＲ２Ｄ送信／Ｄ２Ｒ受信用のリソースプールを示すリソースプール情報を受信する受信部と、前記リソースプール内で、前記Ｒ２Ｄ送信／Ｄ２Ｒ受信用の第１リソースを設定し、前記第１リソースが、前記ネットワークとの間のＤＬ受信／ＵＬ送信用の第２リソースとオーバラップする場合、前記第１リソースと前記第２リソースにおける送信を制御する制御部と、を備える。 【選択図】図２６ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155766
審査請求前 (公開公報の発行)"
特開2025-155725,令和7年10月14日,デバイス及び通信方法,特願2024-201318,令和6年11月19日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",Ａ－ＩｏＴデバイスのＤ２Ｒ送信に、シングルサイドバンド変調が用いられる場合において、適切なフィルタリング／イメージ抑制を行うことができるデバイス及び通信方法を提供すること。,ＮＢ－ＩｏＴ（Narrow Band Internet of Things）デバイスよりも低複雑度のデバイスが、シングルサイドバンド変調（Single Side Band amplitude modulation）を用いて無線基地局への送信を行う送信部と、前記シングルサイドバンド変調における上側サイドバンド又は下側サイドバンドのいずれかを選択し、選択したサイドバンドを用いて、前記無線基地局への送信信号の送信制御を行う制御部と、を備える。 【選択図】図１１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155725
審査請求前 (公開公報の発行)"
特開2025-155722,令和7年10月14日,端末及び通信方法,特願2024-201076,令和6年11月18日,株式会社ＮＴＴドコモ,"['', '', '', '', '', '']",Ａ－ＩｏＴの通信システムにおける通信を含む複数の通信がオーバラップした場合に適切に通信を行うことができる端末及び通信方法を提供する。,端末は、第１の通信動作の一部と、第１の通信動作と異なる第２の通信動作との間にオーバラップが発生している場合、第１の通信動作の一部と、第２の通信動作との間で実行する通信動作を決定する制御部と、制御部によって決定された通信動作を行う通信部と、を備える。 【選択図】図２７ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155722
審査請求前 (公開公報の発行)"
特開2025-155718,令和7年10月14日,通信装置及び無線通信方法,特願2024-199632,令和6年11月15日,株式会社ＮＴＴドコモ,"['', '']",Ａ－ＩｏＴのための好適な設定／制御を実施すること。,本開示の一態様に係る第１の通信装置は、環境発電によって電力を供給される第１の通信装置であって、第２の通信装置から第１のメッセージを受信する受信部と、 前記第１のメッセージによって指定される動作が完了したことを示す、レイヤ２以下のレイヤの第２のメッセージを送信する送信部と、を有する。 【選択図】図１０ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155718
審査請求前 (公開公報の発行)"
特開2025-155706,令和7年10月14日,通信装置及び通信方法,特願2024-196323,令和6年11月8日,株式会社ＮＴＴドコモ,"['', '', '']",アンビエントＩｏＴ（Internet of Things）デバイスが電力状態報告に係る動作を効率的に実行すること。,通信装置は、アンビエントＩｏＴ（Internet of Things）リーダからページングメッセージを受信する受信部と、前記アンビエントＩｏＴリーダに前記ページングメッセージの応答であるＭｓｇ１を送信する送信部とを有し、前記受信部は、前記アンビエントＩｏＴリーダからＭｓｇ１で受信したランダムＩＤを含むＭｓｇ２を受信し、前記送信部は、前記アンビエントＩｏＴリーダに第１の上位レイヤメッセージを含むＭｓｇ３を送信し、前記受信部は、前記アンビエントＩｏＴリーダから第２の上位レイヤメッセージを受信し、前記送信部は、前記アンビエントＩｏＴリーダに第３の上位レイヤメッセージを送信し、前記Ｍｓｇ３又は前記第３の上位レイヤメッセージに電力状態報告を含めてコアネットワーク上のノードに報告する制御部をさらに有する。 【選択図】図１５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155706
審査請求前 (公開公報の発行)"
特開2025-155688,令和7年10月14日,端末、基地局、無線通信システム及び無線通信方法,特願2024-194679,令和6年11月6日,株式会社ＮＴＴドコモ,[''],Ambient IoTにおいてHO、RLF、Split構成などを想定した場合に、A-IoT enabled UEとA-IoT deviceとの間の通信を適切に実行し得る端末、基地局、無線通信システム及び無線通信方法を提供する。,端末は、通信装置と下位レイヤを用いた通信を制御する制御部と、前記下位レイヤを用いた通信に関する情報を送信する送信部と、前記下位レイヤを用いた通信で用いるリソースの情報であって前記下位レイヤを用いた通信に関する情報に基づいて割り当てられる設定情報を受信する受信部と、を備える。 【選択図】 図５ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-155688
審査請求前 (公開公報の発行)"
